"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.42459465878371e-182,1.97713076624969,0.256,0.035,7.42119933160519e-178,"15","GIHCG"
9.78879600707046e-182,1.76385558568321,0.349,0.061,2.99615468184413e-177,"15","BCL2L12"
2.82325614886546e-180,1.56865566335208,0.66,0.19,8.6414224204474e-176,"15","NUDT21"
3.66402568654341e-180,1.89642585614567,0.275,0.041,1.12148498213721e-175,"15","NCAPH2"
1.24496491632724e-179,1.67175652605901,0.75,0.257,3.81058861589441e-175,"15","IDH2"
2.56224537677673e-179,1.51616897617776,0.917,0.544,7.84252064923822e-175,"15","SLC25A5"
3.67977509376623e-178,1.57691744025393,0.598,0.16,1.12630556069997e-173,"15","SSRP1"
7.7631325910097e-177,1.81202838489368,0.311,0.051,2.37613962345625e-172,"15","ITGB3BP"
1.54864563941707e-176,1.30373045952807,0.986,0.916,4.74009457312777e-172,"15","ACTG1"
2.55077476410434e-176,1.2700882114463,0.979,0.685,7.80741139797057e-172,"15","CORO1A"
4.89475248948251e-175,1.41629466814093,0.947,0.621,1.49818584198081e-170,"15","RAN"
1.42911959047577e-174,1.40908523110426,0.603,0.161,4.37424924252825e-170,"15","ITGAE"
9.1420729577471e-174,1.49819624089948,0.335,0.058,2.79820569090723e-169,"15","MPHOSPH9"
4.43277900747897e-173,1.52477053676281,0.501,0.117,1.35678499860916e-168,"15","EBP"
2.42792567280053e-172,1.51636436785603,0.77,0.271,7.43139489930787e-168,"15","H2AFY"
1.48914122116032e-170,2.1221451709996,0.256,0.037,4.55796344972749e-166,"15","NRM"
1.59895967601682e-170,1.50214587131477,0.764,0.275,4.89409577635228e-166,"15","NASP"
5.65442074024843e-170,1.74029608584131,0.684,0.225,1.73070510017524e-165,"15","SLBP"
4.94628951338362e-169,1.44983777890967,0.493,0.115,1.51396029425646e-164,"15","MZT1"
1.04051047617153e-168,1.68973649921786,0.411,0.086,3.18479446546583e-164,"15","CKAP5"
7.31370672805964e-168,1.50924699333411,0.699,0.224,2.2385793553245e-163,"15","LSM4"
1.51018180193661e-167,1.73590437022032,0.268,0.041,4.62236445936759e-163,"15","PRIM2"
1.74773595150025e-167,1.47404523519049,0.469,0.107,5.34947020035197e-163,"15","TPGS2"
7.98716049528789e-167,1.07824509000786,0.982,0.763,2.44471008439772e-162,"15","ARPC2"
9.95071733998466e-167,1.51734672544589,0.504,0.122,3.0457155634225e-162,"15","MAD2L2"
1.13495044649262e-166,1.60200630196512,0.45,0.101,3.4738563266246e-162,"15","GGCT"
1.6941622414454e-166,1.69832209062375,0.284,0.045,5.18549178861609e-162,"15","TEX30"
7.27647340531187e-166,1.78461022888037,0.302,0.051,2.22718297989786e-161,"15","MSH2"
1.2582045877009e-165,1.84290881536182,0.274,0.043,3.8511126020349e-161,"15","ARHGAP19"
1.33157936636456e-164,1.41206400868277,0.448,0.1,4.07569812456866e-160,"15","SUZ12"
3.53247977436754e-164,1.46074514210237,0.562,0.148,1.08122140933842e-159,"15","SMS"
8.22514116332783e-164,1.55272208777977,0.523,0.135,2.51755120727138e-159,"15","H2AFX"
6.13611218088038e-163,2.25782528229115,0.328,0.062,1.87814121632387e-158,"15","HIST1H3D"
7.88930433562476e-161,1.07352594793006,0.991,0.852,2.41475827104803e-156,"15","HNRNPA2B1"
1.11626354125018e-159,1.63032659831633,0.411,0.089,3.41665944705854e-155,"15","POLR3K"
2.93604704718605e-157,1.39663741581988,0.854,0.399,8.98665280202707e-153,"15","SNRPB"
1.7189785572987e-156,1.76899153166481,0.29,0.05,5.26144956817987e-152,"15","MYL6B"
3.5711029689791e-156,1.50646930303779,0.337,0.064,1.09304319674512e-151,"15","CTLA4"
5.76634025179393e-156,1.47050254104566,0.765,0.285,1.76496142426909e-151,"15","SNRPD1"
1.01290484896293e-155,1.46119201633385,0.815,0.332,3.10029916170575e-151,"15","NUCKS1"
2.02145541490876e-154,1.52020653703895,0.844,0.367,6.18727073395275e-150,"15","RAD21"
2.44324347661482e-153,1.49146100798627,0.409,0.09,7.47827963322264e-149,"15","HADH"
3.58273378112632e-153,1.46623154956418,0.651,0.203,1.09660315572715e-148,"15","RBBP7"
4.73261660596175e-153,1.70444829186368,0.278,0.047,1.44855929075277e-148,"15","PRIM1"
1.47890341017434e-152,1.3734849861418,0.379,0.079,4.52662755786163e-148,"15","RAD51C"
5.88558099954193e-152,1.23937665230684,0.943,0.579,1.8014586323398e-147,"15","COX8A"
1.5296128670188e-151,1.35005962009969,0.654,0.204,4.68183906337115e-147,"15","YWHAH"
3.10537584194685e-151,1.40189923291348,0.504,0.13,9.5049343770309e-147,"15","MRPL37"
5.01400194014383e-151,1.40914367663907,0.436,0.1,1.53468571383922e-146,"15","RPA1"
2.24639872611364e-150,1.24233380148505,0.914,0.523,6.87577722088862e-146,"15","PPP1CA"
8.6622522991867e-150,1.27279261672424,0.517,0.133,2.65134218373507e-145,"15","MRPL13"
9.60469342028848e-150,1.43503401607422,0.85,0.379,2.9398045620819e-145,"15","CALM3"
3.07014110218791e-149,1.29173887195106,0.526,0.141,9.39708788557675e-145,"15","MIR4435-2HG"
1.78790828200737e-148,1.27313543049632,0.62,0.181,5.47242966956815e-144,"15","FIBP"
4.58580986614612e-148,1.24070771857815,0.513,0.135,1.40362468383e-143,"15","CD38"
2.13993682318806e-147,1.51805271405518,0.415,0.096,6.549918628414e-143,"15","PMVK"
8.35878911368124e-146,1.30197398207827,0.753,0.271,2.55845817191555e-141,"15","C17orf49"
9.93730327272266e-145,1.65663915191726,0.618,0.199,3.04160978571495e-140,"15","HMGA1"
1.96112275207966e-144,1.29386312332852,0.547,0.151,6.00260451956542e-140,"15","CNTRL"
2.94809625514605e-143,1.35841520632187,0.489,0.127,9.02353301775104e-139,"15","HAT1"
4.03659396631555e-143,1.35783303741054,0.759,0.285,1.23552068120986e-138,"15","CBX3"
4.19841599907634e-143,1.35006634012766,0.549,0.156,1.28505116899729e-138,"15","CENPX"
7.52101454602616e-143,1.62439863958363,0.277,0.049,2.30203213224769e-138,"15","CCDC18"
1.19119138843645e-142,1.35484924959212,0.308,0.058,3.6459986017263e-138,"15","SLF1"
7.57215708731039e-142,1.41790413409955,0.789,0.319,2.31768584128396e-137,"15","JPT1"
7.89329353576185e-142,1.65228247854826,0.263,0.045,2.41597928542599e-137,"15","RBL1"
